City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
150,Carauari,BR,84.6,overcast clouds,-4.8828,-66.8958,Hotel Fellip
155,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
158,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
160,Cururupu,BR,77.32,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
165,Brownsville,US,73.38,clear sky,25.9018,-97.4975,University Inn & Suites
167,Ippy,CF,88.23,broken clouds,6.2679,21.2247,
180,Vila Do Maio,CV,83.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
182,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
184,Bahia Blanca,AR,83.3,overcast clouds,-38.7196,-62.2724,Hotel Argos
195,Qandala,SO,73.85,broken clouds,11.472,49.8728,
196,Ixtapa,MX,70.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
199,Tomatlan,MX,81.59,clear sky,19.9333,-105.25,El Salvial
202,Ambilobe,MG,75.07,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,Kang,BW,80.55,broken clouds,-23.6752,22.7876,Kang Ultra Stop
205,Noumea,NC,81.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
207,Sibolga,ID,75.51,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
210,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,Scoop Guest House
211,Poum,NC,80.89,overcast clouds,-20.2333,164.0167,
213,Madang,PG,75.78,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
216,Mocoa,CO,81.61,broken clouds,1.1493,-76.6466,selvamorena
222,Thinadhoo,MV,81.7,broken clouds,0.5333,72.9333,
223,Sembe,CG,87.17,few clouds,1.6481,14.5806,
224,Pangai,TO,81.39,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
226,Kwinana,AU,72.93,clear sky,-32.25,115.7667,Rockingham Apartments
227,Tocopilla,CL,71.4,clear sky,-22.092,-70.1979,Hotel Galvarino
231,Kavaratti,IN,79.72,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
233,Pauini,BR,82.56,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
236,Hatillo,PR,86.38,clear sky,18.4863,-66.8254,El Buen Hotel
244,Tessalit,ML,80.47,clear sky,20.1986,1.0114,
249,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
253,Port Blair,IN,79.38,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
256,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
259,Ewa Beach,US,73.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
260,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
261,Maragogi,BR,85.93,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
265,Saint-Paul,RE,78.91,scattered clouds,-21.0096,55.2707,Boucan Canot
269,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
271,Mazamari,PE,72.57,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
272,Aketi,CD,86.41,overcast clouds,2.7388,23.7833,
275,Biak,ID,75.99,scattered clouds,-0.9131,122.8766,Penginapan Kim
280,Dingle,PH,75.76,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
281,Nargana,PA,81.72,scattered clouds,9.4428,-78.5906,Dubbir
287,Sibu,MY,77.31,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
288,Mbandaka,CD,85.75,broken clouds,0.0487,18.2603,Guest House Epervier
289,Loanda,AO,78.96,broken clouds,-8.8368,13.2343,Hotel Fórum
294,Vanimo,PG,79.75,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
295,Kapit,MY,73.9,light rain,2.0167,112.9333,Hotel Meligai Kapit
297,Mendoza,AR,89.13,few clouds,-32.8908,-68.8272,Hotel Mendoza
298,Amapa,BR,84.72,overcast clouds,1.0,-52.0,
301,Oriximina,BR,82.04,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
302,Alagoinhas,BR,86.56,broken clouds,-12.1356,-38.4192,Alagoinhas Plaza Hotel
303,Bentiu,SS,86.9,scattered clouds,9.2333,29.8333,Mandela hôtel
309,Mandera,KE,88.88,broken clouds,3.9366,41.867,Mwalimu Guest mandera
319,Guisa,CU,84.51,clear sky,20.255,-76.5386,
322,Labuhan,ID,75.54,light rain,-6.8844,112.2051,DoubleFAG
323,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
325,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
326,Jiwani,PK,71.58,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
