City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
256,Deputatskiy,69.3,139.9,-25.11,95,86,6.29,overcast clouds
257,Alcaniz,41.05,-0.1333,58.08,47,0,2.89,clear sky
258,Malazgirt,39.1427,42.5401,29.82,99,99,1.39,snow
259,Axim,4.8699,-2.2405,83.98,71,16,12.33,few clouds
260,Ostersund,63.1792,14.6357,30.61,74,20,14.97,few clouds
261,Kupang,-10.1667,123.5833,75.9,95,100,4.05,moderate rain
262,Along,28.1667,94.7667,52.95,98,100,1.66,overcast clouds
263,Rio Grande,-32.035,-52.0986,80.71,58,6,12.53,clear sky
264,Port-Gentil,-0.7193,8.7815,84.16,84,75,10.36,broken clouds
265,Evensk,61.95,159.2333,-12.42,72,41,5.75,scattered clouds
266,Olafsvik,64.8945,-23.7142,35.08,57,97,28.66,overcast clouds
267,Sao Joao Da Barra,-21.6403,-41.0511,78.89,92,100,7.36,overcast clouds
268,Praya,14.9215,-23.5087,82.94,42,0,19.57,clear sky
269,Severodvinsk,64.5635,39.8302,28.51,90,100,13.91,overcast clouds
270,High Rock,26.6208,-78.2833,73.42,63,71,10.11,broken clouds
271,Tura,25.5198,90.2201,58.95,87,45,2.53,scattered clouds
272,Upernavik,72.7868,-56.1549,-7.6,91,100,5.44,overcast clouds
273,Ust-Nera,64.5667,143.2,-33.34,97,60,3.65,broken clouds
274,Naze,28.3667,129.4833,56.14,65,79,11.95,broken clouds
275,Porto-Vecchio,41.591,9.2795,60.46,48,0,11.5,clear sky
276,Hami,42.8,93.45,27.39,46,97,7.54,overcast clouds
277,Garden City,42.3256,-83.331,34.9,75,100,12.66,overcast clouds
278,Assiniboia,49.6334,-105.9845,44.51,61,87,31.07,overcast clouds
279,Geraldton,-28.7667,114.6,72.01,83,0,5.75,clear sky
280,Viru,-8.4167,-78.75,70.9,56,95,6.69,overcast clouds
281,Hambantota,6.1241,81.1185,78.8,77,80,0.27,moderate rain
282,Flinders,-34.5833,150.8552,70.21,88,98,5.99,overcast clouds
283,Tuatapere,-46.1333,167.6833,59.83,96,28,1.57,scattered clouds
284,Constitucion,-35.3333,-72.4167,68.0,62,70,6.91,broken clouds
285,Khani,41.9563,42.9566,33.37,99,100,2.59,light snow
286,Hualmay,-11.0964,-77.6139,73.62,72,100,7.52,overcast clouds
287,Pevek,69.7008,170.3133,-31.7,99,100,6.4,overcast clouds
288,Ixtapa,20.7,-105.2,60.03,77,0,6.91,clear sky
289,Corrente,-3.7367,-43.3394,84.6,66,61,4.29,broken clouds
290,Joshimath,30.5667,79.5667,32.56,63,14,5.95,few clouds
291,Jiayuguan,39.8167,98.3,22.42,43,80,2.39,broken clouds
292,Latung,5.5,120.8833,81.37,79,83,3.33,broken clouds
293,Saldanha,-33.0117,17.9442,77.05,73,6,12.8,clear sky
294,Mar Del Plata,-38.0023,-57.5575,80.62,61,0,17.0,clear sky
295,Krasnoarmeysk,51.0239,45.6969,27.57,88,97,11.41,overcast clouds
296,Zhigansk,66.7697,123.3711,-29.54,97,91,10.51,overcast clouds
297,Razole,16.4833,81.8333,68.67,81,25,4.0,scattered clouds
298,Kahului,20.8947,-156.47,71.83,78,0,6.91,clear sky
299,Mollendo,-17.0231,-72.0147,73.38,68,97,9.01,overcast clouds
300,Talnakh,69.4865,88.3972,-0.8,96,95,11.36,overcast clouds
301,Jimenez,28.3333,-105.4,56.64,17,19,4.27,few clouds
302,Jurado,7.1053,-77.7641,82.69,76,69,2.13,light rain
303,Ayna,-12.65,-73.9167,68.5,98,100,2.64,overcast clouds
304,Sehithwa,-20.4667,22.7167,86.88,33,91,6.2,overcast clouds
305,Ust-Maya,60.4167,134.5333,-25.98,100,97,2.15,overcast clouds
306,Bantry,51.6833,-9.45,47.68,64,16,14.41,few clouds
307,Lesnoy,57.6198,63.0784,7.92,95,100,10.18,overcast clouds
308,Sadon,42.8518,44.0037,24.35,90,78,3.02,broken clouds
309,Korla,41.7597,86.1469,28.69,47,91,2.06,overcast clouds
310,Keti Bandar,24.1447,67.4497,71.6,54,0,11.3,clear sky
311,Brejo,-3.6844,-42.7503,83.41,72,54,4.72,broken clouds
312,Mehamn,71.0357,27.8492,22.91,90,81,6.98,broken clouds
313,Ayan,56.45,138.1667,12.56,94,100,9.17,light snow
314,Ewa Beach,21.3156,-158.0072,73.35,76,75,6.91,broken clouds
315,Preobrazheniye,42.9019,133.9064,26.22,77,34,4.32,scattered clouds
316,Logansport,40.7545,-86.3567,32.85,61,100,16.11,overcast clouds
317,Alofi,-19.0595,-169.9187,75.09,100,75,3.44,broken clouds
318,Safford,32.834,-109.7076,59.11,24,1,4.07,clear sky
319,Isangel,-19.55,169.2667,80.71,89,100,20.71,overcast clouds
320,Klaksvik,62.2266,-6.589,31.12,53,99,18.92,overcast clouds
321,Arman,59.7,150.1667,-9.44,77,96,7.45,overcast clouds
322,Pochutla,15.7432,-96.4661,83.82,47,14,4.21,few clouds
323,Fonte Boa,-2.4959,-66.2662,86.94,61,100,3.24,overcast clouds
324,San Blas,21.5167,-105.2667,55.29,39,0,0.07,clear sky
325,Jining,35.405,116.5814,44.01,1,88,5.55,overcast clouds
326,Yulara,-25.2406,130.9889,80.44,34,0,8.05,clear sky
327,Tonj,7.2737,28.6822,93.02,17,100,4.74,overcast clouds
328,Mercaderes,1.8009,-77.166,71.8,72,84,3.33,broken clouds
329,Rathcoole,53.2828,-6.4728,43.68,83,75,16.11,broken clouds
330,Victor Harbor,-35.5667,138.6167,64.0,76,3,1.01,clear sky
331,Tahe,52.3333,124.7333,-12.55,100,52,2.95,broken clouds
332,Svetlaya,46.5389,138.3297,15.73,80,43,5.03,scattered clouds
333,Batagay,67.6333,134.6333,-35.81,99,82,2.15,broken clouds
334,Port Hardy,50.6996,-127.4199,45.75,100,75,3.44,broken clouds
335,Murgab,37.4966,61.9714,57.07,54,75,4.61,broken clouds
336,Lufkin,31.3382,-94.7291,58.84,69,0,0.0,clear sky
337,Rivadavia,-33.1905,-68.4608,86.47,23,7,8.43,clear sky
338,Vila,42.0304,-8.1588,54.73,65,100,4.18,overcast clouds
339,Puerto Escondido,15.85,-97.0667,81.54,52,14,1.92,few clouds
340,Sijunjung,-0.6876,100.9537,70.29,90,99,0.83,overcast clouds
341,Rafaela,-31.2503,-61.4867,91.99,21,71,4.0,broken clouds
342,Tateyama,34.9833,139.8667,37.42,81,75,17.27,mist
343,Namibe,-15.1961,12.1522,81.23,69,75,11.5,broken clouds
344,Ondjiva,-17.0667,15.7333,71.65,81,100,4.12,light rain
345,Salalah,17.0151,54.0924,77.09,53,0,5.75,clear sky
346,Alice Springs,-23.7,133.8833,67.55,73,0,3.44,clear sky
347,Ambilobe,-13.2,49.05,75.18,94,99,5.95,moderate rain
348,Olga,43.7444,135.2892,20.55,92,28,3.6,scattered clouds
349,Bar Harbor,44.3876,-68.2039,45.1,85,75,11.5,broken clouds
350,Xingyi,24.1877,102.817,48.15,49,4,7.14,clear sky
351,Galle,6.0367,80.217,77.31,84,100,4.14,overcast clouds
352,Comodoro Rivadavia,-45.8667,-67.5,62.46,34,0,17.27,clear sky
353,Lampang,18.3333,99.5,75.6,63,59,2.17,broken clouds
354,Egvekinot,66.3167,-179.1667,-27.51,90,15,4.7,few clouds
355,Kirkenes,69.7271,30.0458,28.62,80,100,13.8,overcast clouds
356,San Patricio,28.017,-97.5169,61.9,56,95,3.58,overcast clouds
357,Caravelas,-17.7125,-39.2481,86.9,55,30,11.14,scattered clouds
358,Papara,-3.9839,-38.7273,84.6,53,62,4.99,broken clouds
359,Katherine,-14.4667,132.2667,80.92,78,40,4.61,scattered clouds
360,Viedma,-40.8135,-62.9967,67.15,52,86,23.09,overcast clouds
361,Jishou,28.3167,109.7167,39.65,93,100,1.12,overcast clouds
362,Umm Kaddadah,13.6017,26.6876,76.08,8,0,13.91,clear sky
363,Buala,-8.145,159.5921,79.41,84,100,8.68,light rain
364,La Palma,33.8464,-118.0467,78.82,27,0,18.41,clear sky
365,Okha,53.5739,142.9478,20.3,96,100,4.23,light snow
366,Miri,4.4148,114.0089,75.34,100,40,9.22,scattered clouds
367,Dekalb,33.7504,-84.2333,59.76,47,0,6.91,clear sky
368,Mounana,-1.4085,13.1586,85.91,40,99,0.89,overcast clouds
369,Sao Felix Do Xingu,-6.6447,-51.995,81.79,74,100,2.86,overcast clouds
370,Bandarbeyla,9.4942,50.8122,74.35,61,20,21.45,few clouds
371,Mareeba,-17.0,145.4333,72.45,93,39,1.95,scattered clouds
372,Altamira,-3.2033,-52.2064,84.29,79,75,8.05,broken clouds
